"Wallet statement"
"Address count with BTC balance:";2
"Starting balance 2009-01-03";0,00;BTC;0,00;USD
"Ending balance 2025-06-08";2000,08450987;BTC;211198923,82;USD
"Total received";2022,16340987;BTC
"Total sent";22,0789;BTC

"Start period";2009-01-03
"End period";2025-06-08
"Transactions involving the addresses:"
"Tx number";"Affected address/xpub";Effect;Ticker;"Amount fiat (USD)";"Asset rate (USD)";Date;"Transaction hash"
1;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,0000093;BTC;1,00;107780,00;"2025-05-29 15:44:31";73832245f053db2bf1f38dc26d58df1ac20544ec803d7db5a11ca6b249f58589
2;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,00000931;BTC;1,00;107780,00;"2025-05-29 15:15:00";c493897c53977e1e3afd1b8c4225d8901b0e44a87035143489a9782fcfaf2525
3;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,00001065;BTC;0,89;83209,00;"2025-04-04 06:46:53";417148122cc52e13f7827e4a75b2d7a8b1f33da1efedde3b2fa6dada8d0cc54c
4;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,00008142;BTC;6,86;84311,00;"2025-02-27 01:21:25";e78cea991d09b00a18675dea6bf77b1d6b2c469f6aa7270567c12b307a645910
5;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,0376193;BTC;3434,42;91293,99;"2025-02-25 06:36:33";a33c1f3904d0213ab6a90f1d261fde242b25bab6be7adc4bf1bf2b3aef635429
6;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,000006;BTC;0,57;94426,00;"2025-01-13 01:23:41";d004c4df6c5237c0ebd1a2af9eac8f3f333def0224471f9243fd0fa5d63034d7
7;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;-0,0003;BTC;-27,79;92622,99;"2025-01-10 05:38:58";f1fd7455a9905a45cc2fc4bb541eae184744114b01baeb77d6d147de537a15df
8;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,00000547;BTC;0,54;98103,99;"2025-01-04 11:01:35";0d158f05beb0e39c50379586e1b44102307551458fe737d14c1684d7811994e1
9;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,0008;BTC;74,14;92672,00;"2024-12-31 22:07:36";20cea41c323bb3b5fffbcc8ee14801ffd834fbd4b90e56d6b32857ad1e3890ac
10;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,0000054;BTC;0,53;98004,00;"2024-11-25 18:07:57";e4a3c774068043e5578a006aa5aeff0703ea49a2be17f678ef6cff4361233af2
11;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;-22,001;BTC;-1523547,25;69249,00;"2024-05-23 12:56:05";157ae034b0620636366053c2b4b59e0b05c1cd925400d435fbb05525abd7bb18
12;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;325,6899093;BTC;22832813,52;70105,99;"2024-05-22 04:01:01";b040c35a918fcdd905a8f7a2c25ed22743041284ae04132e6f087ce70af42852
13;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;8,00;BTC;530247,92;66280,99;"2024-05-20 13:22:04";d800ed7b4422d276652e4a377c96ba01af056479793fb60b2d1b871d1931fc58
14;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;10,00;BTC;662809,90;66280,99;"2024-05-20 13:17:27";b80420319b19a644356e31fbee140d513f8817c04c3c9eb07bce6323cd2a10a6
